Var1,Var2,cor,p
MFPI_Flessibilità,ApEN_Ant_alpha,0.3969721788591489,0.029851318885118827
ApEN_Ant_alpha,ApEN_Post_alpha,0.892769744160178,3.341504851e-11
MFPI_Inflessibilità,ApEN_Ant_beta,0.39554819702723293,0.03049810525593788
MFPI_Inflessibilità,ApEN_Post_beta,0.37173071977235733,0.043106817730816926
ApEN_Ant_beta,ApEN_Post_beta,0.675194660734149,4.2538611958464756e-5
TMT_BA,ApEN_Ant_delta,-0.38273254174067983,0.03684586013496349
MFPI_Inflessibilità,ApEN_Post_delta,-0.38887039966605286,0.03368465309894897
ApEN_Ant_delta,ApEN_Post_delta,0.8384872080088988,7.28462290489e-9
ApEN_Ant_beta,ApEN_Ant_theta,-0.3753058954393771,0.04098544618558142
ApEN_Ant_beta,ApEN_Post_theta,-0.4229143492769744,0.019889229175108047
ApEN_Post_beta,ApEN_Post_theta,-0.39087875417130147,0.0326992326684763
ApEN_Ant_theta,ApEN_Post_theta,0.9016685205784205,1.051336795e-11
ApEN_Post_delta,MSE_Ant_alpha,-0.41802002224694107,0.021522327028613564
MSE_Ant_alpha,MSE_Post_alpha,0.7205784204671858,7.10116574942354e-6
ApEN_Ant_beta,MSE_Ant_beta,0.40867630700778645,0.02494639189564385
ApEN_Ant_beta,MSE_Post_beta,0.5973303670745272,4.919367477991266e-4
ApEN_Post_beta,MSE_Post_beta,0.5790878754171301,7.996293255365661e-4
MSE_Ant_beta,MSE_Post_beta,0.6622914349276975,6.698152626016807e-5
ApEN_Ant_delta,MSE_Ant_delta,0.7709771518340486,6.1847782362179e-7
ApEN_Post_delta,MSE_Ant_delta,0.801469031106931,1.0261934146882e-7
ApEN_Ant_delta,MSE_Post_delta,0.617421296511643,2.78249879250847e-4
ApEN_Post_delta,MSE_Post_delta,0.7540327113073723,1.49796369042221e-6
MSE_Ant_alpha,MSE_Post_delta,-0.37757259105594887,0.0396843497115813
MSE_Ant_delta,MSE_Post_delta,0.6499722120788717,1.0131365515930746e-4
ApEN_Post_theta,MSE_Ant_theta,-0.39977753058954396,0.028609695947238167
TMT_BA,SW_SampEN_Ant_alpha,-0.4512683689826155,0.012313517746503466
MFPI_Flessibilità,SW_SampEN_Ant_alpha,0.4265836762165616,0.018733099980085433
MSE_Ant_alpha,SW_SampEN_Ant_alpha,-0.5604004449388209,0.0012782287404482506
MSE_Post_alpha,SW_SampEN_Ant_alpha,-0.4860956618464961,0.006459943079453856
MSE_Ant_theta,SW_SampEN_Ant_beta,0.4273637374860957,0.018494621452872062
ApEN_Ant_alpha,SW_SampEN_Post_delta,-0.3847146741839615,0.03579992387036324
ApEN_Post_alpha,SW_SampEN_Post_delta,-0.4006587315365054,0.028228475511695272
MSE_Ant_delta,SW_SampEN_Post_delta,0.3709930204906257,0.04355526226833284
SW_SampEN_Ant_delta,SW_SampEN_Post_delta,0.6695953003502779,5.194123476770507e-5
MFPI_Inflessibilità,SW_SampEN_Ant_theta,-0.5137452103201202,0.0036861827973897476
ApEN_Ant_theta,SW_SampEN_Ant_theta,0.4117908787541713,0.023758748913502048
ApEN_Ant_theta,SW_SampEN_Post_theta,0.5586206896551724,0.001334726825542143
ApEN_Post_theta,SW_SampEN_Post_theta,0.5270300333704115,0.0027681049807446456
SW_SampEN_Post_delta,SW_SampEN_Post_theta,0.3677419679699632,0.04557611703439379
SW_SampEN_Ant_theta,SW_SampEN_Post_theta,0.450055617352614,0.012578791952999602
