Var1;Var2;cor;p
MFPI_Flessibilità;ApEN_Ant_alpha;0,396972179;0,029851319
ApEN_Ant_alpha;ApEN_Post_alpha;0,892769744;3,34E-11
MFPI_Inflessibilità;ApEN_Ant_beta;0,395548197;0,030498105
MFPI_Inflessibilità;ApEN_Post_beta;0,37173072;0,043106818
ApEN_Ant_beta;ApEN_Post_beta;0,675194661;4,25E-05
TMT_BA;ApEN_Ant_delta;-0,382732542;0,03684586
MFPI_Inflessibilità;ApEN_Post_delta;-0,3888704;0,033684653
ApEN_Ant_delta;ApEN_Post_delta;0,838487208;7,28E-09
ApEN_Ant_beta;ApEN_Ant_theta;-0,375305895;0,040985446
ApEN_Ant_beta;ApEN_Post_theta;-0,422914349;0,019889229
ApEN_Post_beta;ApEN_Post_theta;-0,390878754;0,032699233
ApEN_Ant_theta;ApEN_Post_theta;0,901668521;1,05E-11
ApEN_Post_delta;MSE_Ant_alpha;-0,418020022;0,021522327
MSE_Ant_alpha;MSE_Post_alpha;0,72057842;7,10E-06
ApEN_Ant_beta;MSE_Ant_beta;0,408676307;0,024946392
ApEN_Ant_beta;MSE_Post_beta;0,597330367;4,92E-04
ApEN_Post_beta;MSE_Post_beta;0,579087875;8,00E-04
MSE_Ant_beta;MSE_Post_beta;0,662291435;6,70E-05
ApEN_Ant_delta;MSE_Ant_delta;0,770977152;6,18E-07
ApEN_Post_delta;MSE_Ant_delta;0,801469031;1,03E-07
ApEN_Ant_delta;MSE_Post_delta;0,617421297;2,78E-04
ApEN_Post_delta;MSE_Post_delta;0,754032711;1,50E-06
MSE_Ant_alpha;MSE_Post_delta;-0,377572591;0,03968435
MSE_Ant_delta;MSE_Post_delta;0,649972212;1,01E-04
ApEN_Post_theta;MSE_Ant_theta;-0,399777531;0,028609696
TMT_BA;SW_SampEN_Ant_alpha;-0,451268369;0,012313518
MFPI_Flessibilità;SW_SampEN_Ant_alpha;0,426583676;0,0187331
MSE_Ant_alpha;SW_SampEN_Ant_alpha;-0,560400445;0,001278229
MSE_Post_alpha;SW_SampEN_Ant_alpha;-0,486095662;0,006459943
MSE_Ant_theta;SW_SampEN_Ant_beta;0,427363737;0,018494621
ApEN_Ant_alpha;SW_SampEN_Post_delta;-0,384714674;0,035799924
ApEN_Post_alpha;SW_SampEN_Post_delta;-0,400658732;0,028228476
MSE_Ant_delta;SW_SampEN_Post_delta;0,37099302;0,043555262
SW_SampEN_Ant_delta;SW_SampEN_Post_delta;0,6695953;5,19E-05
MFPI_Inflessibilità;SW_SampEN_Ant_theta;-0,51374521;0,003686183
ApEN_Ant_theta;SW_SampEN_Ant_theta;0,411790879;0,023758749
ApEN_Ant_theta;SW_SampEN_Post_theta;0,55862069;0,001334727
ApEN_Post_theta;SW_SampEN_Post_theta;0,527030033;0,002768105
SW_SampEN_Post_delta;SW_SampEN_Post_theta;0,367741968;0,045576117
SW_SampEN_Ant_theta;SW_SampEN_Post_theta;0,450055617;0,012578792
