Var1;Var2;cor;p;p_adj
MFPI_Inflessibilità;SW_ApEN_Ant_Theta;-0,735294118;0,001171616;0,047567591
SW_ApEN_Ant_Delta;SW_ApEN_Post_Delta;1;0;0
MFPI_Inflessibilità;ApEN_Ant_Beta;0,797058824;2,18E-04;0,017709563
SW_ApEN_Post_Theta;ApEN_Ant_Theta;0,738235294;0,001092851;0,047567591
ApEN_Ant_Alpha;ApEN_Post_Alpha;0,891176471;3,62E-06;4,90E-04
ApEN_Ant_Beta;ApEN_Post_Beta;0,758823529;6,54E-04;0,033192034
ApEN_Ant_Delta;ApEN_Post_Delta;0,770588235;4,77E-04;0,027655699
ApEN_Ant_Theta;ApEN_Post_Theta;0,944117647;3,93E-08;7,99E-06
ApEN_Post_Delta;MSE_Ant_Delta;0,776470588;4,04E-04;0,027361074
MSE_Ant_Alpha;MSE_Post_Alpha;0,811764706;1,34E-04;0,013633721
