Var1,Var2,cor,p,p_adj
ApEN_Ant_alpha,ApEN_Post_alpha,0.892769744160178,3.341504850595811e-11,6.783254846709497e-9
ApEN_Ant_beta,ApEN_Post_beta,0.675194660734149,4.2538611958464756e-5,0.0021588345568920864
ApEN_Ant_delta,ApEN_Post_delta,0.8384872080088988,7.284622904890625e-9,9.85852299795198e-7
ApEN_Ant_theta,ApEN_Post_theta,0.9016685205784205,1.0513367953990382e-11,4.268427389320095e-9
MSE_Ant_alpha,MSE_Post_alpha,0.7205784204671858,7.101165749423544e-6,4.1186761346656553e-4
ApEN_Ant_beta,MSE_Post_beta,0.5973303670745272,4.919367477991266e-4,0.015363563046649644
ApEN_Post_beta,MSE_Post_beta,0.5790878754171301,7.996293255365661e-4,0.023189250440560416
MSE_Ant_beta,MSE_Post_beta,0.6622914349276975,6.698152626016807e-5,0.0027194499661628234
ApEN_Ant_delta,MSE_Ant_delta,0.7709771518340486,6.18477823621788e-7,5.022039927808919e-5
ApEN_Post_delta,MSE_Ant_delta,0.801469031106931,1.0261934146882368e-7,1.0415863159085603e-5
ApEN_Ant_delta,MSE_Post_delta,0.617421296511643,2.78249879250847e-4,0.009414120914653656
ApEN_Post_delta,MSE_Post_delta,0.7540327113073723,1.4979636904222104e-6,1.0136220971856959e-4
MSE_Ant_delta,MSE_Post_delta,0.6499722120788717,1.0131365515930746e-4,0.003739394908607166
MSE_Ant_alpha,SW_SampEN_Ant_alpha,-0.5604004449388209,0.0012782287404482506,0.03386869319813188
SW_SampEN_Ant_delta,SW_SampEN_Post_delta,0.6695953003502779,5.194123476770507e-5,0.002343126812854251
ApEN_Ant_theta,SW_SampEN_Post_theta,0.5586206896551724,0.001334726825542143,0.03386869319813188
